"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
73,3.12100703646835,2.60916037725848,0.0707433454615502,0.622516512530657,1.97769076899257,2.61349222390242,0.82142329937147,0.476084464545726,2.54850687614585,1.22670936543923,NA
74,2.21268305358076,2.1046425039408,-1.5209543627631,0.413126502008519,1.96456704515573,2.50464324976361,-0.64540039279248,0.267141447138774,0.542875214795031,0.137951614640324,NA
75,1.49552960025145,2.19469486621818,-1.0342340142065,0.250923992275258,0.717305578673629,0.275632048317598,0.0124699664443182,1.12659664084426,2.12588977633303,2.72670167282756,NA
76,1.21583800413781,1.06657295400528,-0.4364340288784,1.06579894807857,1.47348084866295,0.863209182907614,0.822736580634459,1.03352199868058,3.266790639084,1.93274656320253,NA
77,0.906312556820326,0.617897145127716,0.221016510863737,1.35787932856044,1.34831549313171,0.738323665327751,-0.680199459871339,0.655022351008538,0.628397842910308,0.414107856010297,NA
78,1.22569770487063,1.4962486793961,-0.0404589348332227,1.22137792847574,1.20930806681589,1.38702741847353,1.10675343436446,0.780552126425386,3.7975933330131,1.92331116104295,NA
79,0.863927052144905,0.78581952794691,0.194535264139549,0.786125310797039,2.36260619584856,1.65227162448282,0.00127881869500398,0.831099867458092,1.37782316353183,1.06314438908097,NA
80,2.98904494838618,2.16626200189851,-0.714338072394903,0.774163871089135,1.14213443222772,0.946625184553632,1.06586429062535,0.867566170407965,4.06370474813858,2.84068004379355,NA
81,0.708118789853102,0.449694033058728,-0.300288231518084,1.38245000606981,0.644944864124088,0.380378084986869,-0.192418672860662,1.45540897970433,1.89151844225887,1.78273307170997,NA
82,1.96742320613112,1.61762877486139,0.253053226996032,0.942874126493443,0.619012987440368,0.227069069736992,-0.631894648056539,0.680760693488067,0.659500243525597,0.390317571034164,NA
83,0.853896463306429,0.710645697890122,-0.137556884837086,0.985518796419247,2.34169759385938,1.26846290633643,-0.021610313389674,0.576895550659103,1.15169978171754,0.634782609864709,NA
84,0.553109645055549,0.395943912274652,0.753342337965658,0.795292828408876,1.93581181143325,1.83862448145069,-0.721834662931912,0.902237453618766,0.737288475116832,0.684237908582931,NA
85,1.71700049092712,1.96795921442989,0.645306430643566,1.12277029095025,1.97634796002518,1.98417457028114,-0.952360240352168,1.10166213179263,0.768732262517455,0.944412629733149,NA
86,0.925221202824498,0.742570272349582,1.09718083445618,0.662475849288183,1.42956639713735,1.08307511470202,-0.254576424524193,1.19061135743198,1.78906831483014,2.40356957907517,NA
87,0.961171260888784,0.555808690524336,-0.129982865641253,0.934193919277728,0.599009669559371,0.355343265703616,0.521656520233891,1.22892274893912,2.6704768801144,1.59808865409927,NA
