"subj","waic","n_trials","logit_alpha_mean","logit_alpha_sd","log_beta_mean","log_beta_sd","log_gamma_mean","log_gamma_sd","tau_mean","tau_sd","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd"
39,27.8415722393426,20,-3.14670535409342,10.2496856530816,-6.01184297355137,8.05270673553399,-0.784015115258816,9.96911257849637,-0.963332343769798,10.2352846748233,0.356802330308425,0.443756357597957,67417253.6187866,4260369094.15642,512437850387.991,33725610308643.4
40,27.8444943802804,20,-2.95623799480939,10.2664888261395,-5.83799548316438,8.0258141678338,-0.684174434305989,10.0406425417792,-1.12737501268047,10.1957796140211,0.366098629839156,0.446828856488621,1590627.28235171,76943664.443355,1655325412778.73,93175818879088.8
41,19.9144073251061,19,0.754001023109058,8.89767863940064,2.78492876021277,6.18638292350481,0.46889002213826,9.87116409721986,0.628917479491822,9.45104818899561,0.492705292623687,0.450946329775078,104183455.060182,4146866039.61842,28863040283830.7,3005656986432775
42,25.0649408466029,18,-3.10534005264994,10.283777167788,-5.72270316635001,8.06158419866997,-0.883918617749942,9.81422056401273,-1.02366990506631,10.0687317586852,0.364841944166918,0.446069065638757,10160571.4031745,732417615.332917,9683357564534.22,910358185208301
43,27.8704210324326,20,-2.51242704015266,10.089606040691,-4.48088709818152,8.40954604648376,-0.524085706334953,9.8673414601321,-0.552499561844865,10.0705487776292,0.382594886327897,0.44734370214431,11380904033.0891,962758839246.389,1196475879007.37,80541921387181.1
44,27.8513309527066,20,-2.98955325744292,10.185445722143,-5.33899786372364,8.11562363674221,-0.741423318344158,10.1139073278985,-0.97077211735396,10.3655257552144,0.366279013307466,0.445914533464957,29770995.2709597,2127850102.22869,37543635155140360,4112053806292034560
45,23.7062490408635,17,-2.24065431360105,10.0667653595685,-4.37652096649707,8.32252718387315,-0.572314004767153,10.0187504474791,-0.726178479709225,10.3681319843862,0.391177993849546,0.449918760499491,596803508.860657,63529403098.2505,14777039902495.5,843685025346641
46,26.4020605619402,20,-2.17503530072685,9.07146763855179,-0.259980043749339,8.4996976020021,0.347255481162552,10.2555212210632,0.176533810218653,9.9561427924366,0.348827509789265,0.433859440220875,2272898049.98381,132945330263.082,21259150758655.1,1312681414283171
47,27.7239442572854,20,-2.17355001837239,10.1703138526212,-3.8649178684837,8.19753684560882,-0.442448619200953,9.97441898221958,-0.752289773914368,10.1364475645239,0.391580661918469,0.448897477471941,15690890.5758032,462342691.273842,154793532557.342,8292531344559.24
48,23.664706097857,20,2.75883153857801,8.99758342567334,0.383101824353322,6.01562266992448,0.222350837550551,10.1100822270771,0.764845104562179,9.66229885628202,0.63237414106537,0.433188306042934,302933995.715442,26525796474.2274,1463032120136.77,125944299684470
49,26.7022092732728,20,-2.16494914713964,9.22878164799603,-0.664277960283345,8.22183220773613,0.0580439484703312,9.91640868696329,0.0697392189561078,9.93399343403607,0.36093573554004,0.437970400484679,46236376.7864298,1868454012.50147,198431710958.045,11498424836774.3
50,27.7757939479089,20,-1.91938389702065,10.259936806507,-4.12671323221682,8.05792106351335,-0.641708618857007,10.0628620203082,-0.580067291041813,10.0426774988073,0.411525486124864,0.45471163214462,20440658.3574966,1095254434.73845,28005251552821.3,3038716448267868
51,27.4023198366817,20,-2.35037882112183,9.64436969229971,-2.3183225113359,8.67163142898544,-0.170828158347903,10.0303862986966,-0.579369499612378,10.0631897157518,0.359569469057954,0.439276707725814,77360274.7079074,3274841263.56974,56590418161246.8,6188534972696416
52,27.8384572035092,20,-2.99174939961707,10.3191652852926,-5.75254137767721,8.08721623260072,-0.764345343163775,9.9669352486542,-1.06222117577811,10.2375749934326,0.367107400793186,0.448325660587324,61624009.526597,4747340047.552,268977450803.925,24372156148310.1
53,14.3447023264716,20,5.38471340474984,7.75561258062234,1.67173707714135,4.42674999197881,0.366185096370649,10.0650020250223,0.830229270794455,9.35445075299625,0.771470902956443,0.364910560496057,259540457.898087,12204852584.559,1652327349090.06,144192150850275
54,23.9748226091306,19,-0.898524686472025,9.29050515498581,0.790773086579904,7.60098552546444,0.226878910109583,9.88270904873823,0.503342333118987,9.80774294754425,0.422728794859165,0.446644963552316,156621815.06545,8283196632.89263,852434499616.207,70299177361945.6
55,24.7433595275654,19,-2.19881540666434,9.01785922183915,-0.0105663248470711,8.39271187663229,0.321946721515347,9.95993239481002,0.460319191653839,9.93525475804801,0.350000777435304,0.431702815861797,130822361.228115,5128820620.12125,5314001415040.66,352456899481230
56,27.8368248798058,20,-2.88287943082724,10.1672199596569,-4.94912826566785,8.07109050271886,-0.788191478013804,9.92723421734349,-0.929259691089983,10.0501263979759,0.369593101606542,0.446505392715332,1737711.54033696,47863326.2737157,315134973592853,34395646773553704
57,22.6949083786304,17,-1.85381046382523,9.32232246611821,-0.849401843421274,8.21600518564526,-0.00681471516637422,9.94361176199243,0.0464583351095327,10.0524608054096,0.374425545020573,0.441475881004022,16688726.6030784,710205989.974243,455992511694354,47752705664732960
58,24.7562234826105,18,-1.00836157563761,9.82530389117344,-2.52370038026634,7.86048369263132,-0.432365486488582,9.76618509731767,-0.333829841049979,9.8546380577101,0.448267757032584,0.456816045065426,9719054.07040148,673163527.839066,2574044762643.11,195116070006281
59,27.837985557744,20,-3.06266710104419,10.3216090159958,-5.58356126382578,8.07045879403375,-0.822087227410365,10.0518115117983,-1.05888465289482,10.2614572194151,0.361868239624539,0.44430169636694,50715759.9263813,3841638912.43722,48192467056049.1,4710393177765434
60,26.0379398605483,20,-0.337467886568147,9.21794421307702,-0.257917998120827,7.81286994092731,0.0429751544402114,9.97251937383874,0.0833479600598285,9.72173766399713,0.457761652131013,0.453357458795259,523855184.321901,19091482076.1899,854367923922.489,41621627223041.3
61,27.8312789264938,20,-2.69615869330627,10.4081428035653,-5.48004759959051,7.86458029454877,-0.599018324107809,10.1074461893296,-1.09188663915424,10.3244213038498,0.376607556474693,0.448470573368719,1575062.67069876,79566296.7186692,677379515481595,71811710408780248
62,27.8398238682858,20,-2.1125293730524,10.1730537085682,-5.04433962759944,8.12548427358155,-0.775832697125593,10.1846621454876,-0.479706954216732,10.2331132568928,0.401501121614864,0.453587512876532,48217304.0979244,2574486500.01916,15838376846105.2,986829486178618
63,21.6765194897405,20,-2.98035830251167,7.60893488987201,4.00116780930043,6.8110730466361,0.845186697265864,9.91972800724703,1.0646678432952,9.55572334818372,0.269930578402366,0.390954464659927,39253814205.8599,2879290803904.71,13811439704764.5,1237890995952244
64,25.0675631767049,18,-3.07374013106179,10.245850532848,-5.68791769194924,8.10718092235516,-1.1336290260313,10.0234692983874,-1.20990960978819,10.3336676735584,0.359944103710328,0.445260121184083,17059998.3696385,1124743963.74644,2170340677868.97,208079339945895
65,16.6939348102288,19,5.02129477808209,8.14207750300149,1.23744523407548,4.51821703398116,0.446816468659477,9.89820170110674,1.06862749282669,9.33402599434945,0.753335024885533,0.379565658992531,8817861.63713757,411719146.519217,940708954702.627,71015222089818.8
66,23.6745616687556,17,-2.85311386643121,10.2968501674336,-5.31302546451906,8.20544962420992,-0.792653902578499,10.011847365097,-1.18464389313915,10.273822853471,0.375826960495318,0.44884315728593,696781051.847086,63514450361.8496,2299019185872.75,162453822837926
67,25.065053592233,18,-3.20675992431699,10.1624220602134,-5.75569007753624,7.8741929866962,-0.93042831505711,10.0055150726965,-1.09557585836864,10.1384653370212,0.357767741208409,0.443531598945117,2923810.76573666,198868603.711377,9622350566209.95,803710767222318
68,26.4504154442281,19,-3.00608165803287,10.2227384910777,-5.88250589551921,8.14216814348721,-0.661922559454574,10.0712654255895,-1.01489832240922,10.0002672987779,0.361036679313174,0.444857046205333,5399770.64051674,492027571.933267,336410816808.39,17329945731630.4
