"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
57,0.374425545020573,16688726.6030784,455992511694354,0.0464583351095327,-1.85381046382523,-0.849401843421274,-0.00681471516637422
58,0.448267757032584,9719054.07040148,2574044762643.11,-0.333829841049979,-1.00836157563761,-2.52370038026634,-0.432365486488582
59,0.361868239624539,50715759.9263813,48192467056049.1,-1.05888465289482,-3.06266710104419,-5.58356126382578,-0.822087227410365
60,0.457761652131013,523855184.321901,854367923922.489,0.0833479600598285,-0.337467886568147,-0.257917998120827,0.0429751544402114
61,0.376607556474693,1575062.67069876,677379515481595,-1.09188663915424,-2.69615869330627,-5.48004759959051,-0.599018324107809
62,0.401501121614864,48217304.0979244,15838376846105.2,-0.479706954216732,-2.1125293730524,-5.04433962759944,-0.775832697125593
63,0.269930578402366,39253814205.8599,13811439704764.5,1.0646678432952,-2.98035830251167,4.00116780930043,0.845186697265864
64,0.359944103710328,17059998.3696385,2170340677868.97,-1.20990960978819,-3.07374013106179,-5.68791769194924,-1.1336290260313
65,0.753335024885533,8817861.63713757,940708954702.627,1.06862749282669,5.02129477808209,1.23744523407548,0.446816468659477
66,0.375826960495318,696781051.847086,2299019185872.75,-1.18464389313915,-2.85311386643121,-5.31302546451906,-0.792653902578499
67,0.357767741208409,2923810.76573666,9622350566209.95,-1.09557585836864,-3.20675992431699,-5.75569007753624,-0.93042831505711
68,0.361036679313174,5399770.64051674,336410816808.39,-1.01489832240922,-3.00608165803287,-5.88250589551921,-0.661922559454574
69,0.389239147380474,2895479.6106824,6209077932696.04,-0.947136583808346,-2.37017686940167,-4.78344541362677,-0.636104646976538
70,0.367027156795449,342539.042733187,36949916467544.5,-0.71436589757969,-3.02734927997048,-5.72445568551224,-0.518725941989288
71,0.464386312162584,540748327.10625,675866174876.209,1.16538846690701,0.526145093335193,3.89431966902199,0.606831175199385
72,0.40326702237996,380257254.487747,32700716141384.6,0.5655734510608,-1.20601519298828,1.3596658508126,0.530100917197957
73,0.46298512837578,1142715120.03826,7371317873531.23,1.18126558752881,0.40312201297782,3.14865018386842,0.544832011856464
74,0.568404118471272,14181090.131868,283642734525.545,0.154354826512378,1.22992133381168,-1.78580273981506,0.10447422321419
75,0.36997278108563,4073486.21380217,1401753751991.45,-1.06269652988566,-2.77657938426397,-5.11648731791838,-0.710161438818981
76,0.37026641125836,2845974.30436418,412556679254.967,-1.0128975970672,-2.97279840263822,-5.60371762387485,-0.832881274773232
77,0.372027302252295,2988206.05598942,2815921915099.9,-0.983619121416888,-2.91256873789228,-5.70574797299763,-0.710787285148282
78,0.363643805087779,18473486.7399175,1315225728355.12,-0.722363382627804,-3.03177657981797,-5.8405934445818,-0.787886713475696
79,0.364909953207111,2012734.50331799,2259303289625.08,-0.504700353744482,-2.64259723530688,-3.87344262925965,-0.583640904021452
80,0.529702491171834,36725931.9235202,283078801620.32,0.44542828436515,0.914835826889542,0.618553391890601,0.407751019088886
81,0.374376961740372,62295163.7937256,6864251929678.25,-0.843010406386123,-2.76605921583667,-5.28032697579286,-0.614968665987391
82,0.416814408558122,151368922.599864,264714465815.474,-0.443224417510162,-1.46613174588218,-2.56012226112708,-0.459305061250781
83,0.376819440068954,3360799.32813564,217545978552.069,-0.950445255396253,-2.8809995854752,-5.58237976508897,-0.621498327476487
84,0.374274444675163,40325376935.4311,4118284887564.9,-0.692790616340446,-2.62851594359415,-4.65482848830477,-0.414667078296486
85,0.391709242452778,22025479345.3447,1168612441600.91,-0.551113056753747,-2.0137176461063,-3.01970609830851,-0.416388019343431
86,0.355763019231737,12606440.996425,3267151597125.6,-1.06847074072358,-3.17694718519226,-5.78191226006979,-0.80047950282596
87,0.368993423965047,3539168.30064136,13598260048273.6,-0.962867452385836,-2.97361464577668,-5.78526480043342,-0.851491543219742
88,0.381688257391112,3200453.61048969,1281293910624.73,-0.885752384930843,-2.72484952125918,-5.45138293125646,-0.877961960802781
89,0.360081938558074,13852574.9234154,1751709649531.99,-1.11373628454675,-3.06261654440471,-5.61562953463731,-1.03560617293154
